ERA,PRODUCT_NAME,SHADE_ROWS,OOS_SHADE_ROWS,OOS_SHARE
revival,Joystick Blush,10,1,0.100
revival,Legally Bronze Bronzer,9,0,0.000
original_launch,Highliner Gel Crayon,6,0,0.000
original_launch,Shameless Bold Blush,9,0,0.000
revival,Flashes Mascara,3,0,0.000
original_launch,Lip Lock Moisture Balm,1,0,0.000
revival,Born Star Eyeshadow,14,4,0.286
original_launch,Genius Gel Super-Charged Foundation,16,0,0.000
original_launch,Lust for Lacquer Lip Vinyl,12,0,0.000
original_launch,Remedy Concealer Pen,9,0,0.000
original_launch,Style Eye-con No. 3 Plush Shadow Palette,18,0,0.000
revival,Drawn This Way Eyeliner,21,2,0.095
revival,Money Shot Highlighter,1,0,0.000
original_launch,Style Eye-con No. 7 Plush Shadow Palette,28,0,0.000
revival,Heart On Lipstick,20,1,0.050
original_launch,Perfection Powder Featherweight Foundation,10,0,0.000
original_launch,Lovemarc Lip Gel,15,0,0.000
original_launch,O!mega Bronze Perfect Tan,1,0,0.000
