ERA,LAUNCH_YEAR,PRODUCT_NAME,CATEGORY,PRODUCT_TYPE,SHADE_CODE,SHADE_NAME,PAN_NUMBER,SHADE_DESCRIPTION,FINISH,FINISH_GROUP,COLOR_FAMILY,SHADE_DEPTH_ORDER,SHADE_DEPTH_GROUP,UNDERTONE_INFERRED_CMYK,UNDERTONE_CONFIDENCE,SHADE_FUNCTION,C_PCT,M_PCT,Y_PCT,K_PCT,COLOR_VALUE_SOURCE,IS_OOS,OOS_CAPTURE_DATE,SOURCE_URL
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,260,You Up?,,Pink Glitter,Metallic,metallic_shimmer,pink,,,unknown,low,color_cosmetic,0,64,36,4,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,270,Unhinged,,Turquoise Glitter,Metallic,metallic_shimmer,blue,,,unknown,low,color_cosmetic,50,11,0,10,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,300,So Tea,,Bronze Duochrome,Duochrome,duochrome,multi_duochrome,,,unknown,low,color_cosmetic,0,40,48,36,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,240,No Cap,,Metallic Emerald,Metallic,metallic_shimmer,green,,,unknown,low,color_cosmetic,55,0,17,57,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,280,Hmu,,Ultra Black Glitter,Metallic,metallic_shimmer,black_gray,,,unknown,low,color_cosmetic,0,0,0,81,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,220,Do Better,,Metallic Copper,Metallic,metallic_shimmer,gold_bronze,,,unknown,low,color_cosmetic,0,34,51,36,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,290,Delulu,,Lilac Duochrome,Metallic,metallic_shimmer,multi_duochrome,,,unknown,low,color_cosmetic,7,13,0,4,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,250,Booboo,,Metallic Teal,Metallic,metallic_shimmer,blue,,,unknown,low,color_cosmetic,84,31,0,52,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,210,Blocked,,Metallic Gold,Metallic,metallic_shimmer,gold_bronze,,,unknown,low,color_cosmetic,0,16,32,7,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,230,Big Flex,,Metallic Silver,Metallic,metallic_shimmer,white_silver,,,unknown,low,color_cosmetic,0,0,0,9,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,160,You Wish,,Matte Chocolate Brown,Matte,matte,brown,,,unknown,low,color_cosmetic,0,38,45,73,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,170,Try Me,,Matte Olive Green,Matte,matte,green,,,unknown,low,color_cosmetic,3,0,18,64,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,130,Take Notes,,Matte Electric Blue,Matte,matte,blue,,,unknown,low,color_cosmetic,82,66,0,32,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,100,Salty,,Matte White,Matte,matte,white_silver,,,unknown,low,color_cosmetic,0,0,1,4,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,110,Nude Attitude,,Matte Peach,Matte,matte,coral_orange,,,unknown,low,color_cosmetic,0,14,22,5,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,150,Not Playing,,Matte Eggplant,Matte,matte,purple,,,unknown,low,color_cosmetic,0,39,12,74,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,200,No Shade,,Matte Ultra Black,Matte,matte,black_gray,,,unknown,low,color_cosmetic,2,2,0,82,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,120,Hot Take,,Daisy Yellow,Matte,matte,yellow,,,unknown,low,color_cosmetic,0,11,45,0,converted_from_rgb,TRUE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,190,Hit It,,Matte Navy Blue,Matte,matte,blue,,,unknown,low,color_cosmetic,47,34,0,63,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,180,Gagged,,Matte Charcoal Grey,Matte,matte,black_gray,,,unknown,low,color_cosmetic,0,0,0,74,converted_from_rgb,FALSE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,140,Facts,,Matte Burgundy,Matte,matte,berry_plum,,,unknown,low,color_cosmetic,0,68,43,61,converted_from_rgb,TRUE,2026-06-26,https://www.marcjacobs.com/us-en/drawn-this-way-eyeliner/2P6BEY000004-002.html
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,100,On Brand,,Nude,Matte,matte,nude,,,unknown,low,color_cosmetic,0,34,44,27,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,130,Hater,,Chocolate Brown,Matte,matte,brown,,,unknown,low,color_cosmetic,0,35,44,58,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,120,Delete That,,Burgundy,Matte,matte,berry_plum,,,unknown,low,color_cosmetic,0,49,50,54,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,110,Act Natural,,Cinnamon,Matte,matte,brown,,,unknown,low,color_cosmetic,0,42,63,43,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,180,Zero Chill,,Metallic Silver,Metallic,metallic_shimmer,white_silver,,,unknown,low,color_cosmetic,1,2,0,15,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
revival,2026,Born Star Eyeshadow,Eyes,Eyeshadow Single,170,That's Cute,,Metallic Hot Pink,Metallic,metallic_shimmer,pink,,,unknown,low,color_cosmetic,0,56,35,11,converted_from_rgb,FALSE,2026-06-26,mjb_2026.txt
