era,launch_year,product_name,category,product_type,shade_code,shade_name,shade_description,finish,finish_group,color_family,shade_depth_order,shade_depth_group,undertone_inferred_cmyk,undertone_confidence,shade_function,c_pct,m_pct,y_pct,k_pct,color_value_source,is_oos
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,260,You Up?,Pink Glitter,Metallic,metallic_shimmer,pink,,,unknown,low,color_cosmetic,0,64,36,4,converted_from_rgb,false
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,270,Unhinged,Turquoise Glitter,Metallic,metallic_shimmer,blue,,,unknown,low,color_cosmetic,50,11,0,10,converted_from_rgb,false
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,300,So Tea,Bronze Duochrome,Duochrome,duochrome,multi_duochrome,,,unknown,low,color_cosmetic,0,40,48,36,converted_from_rgb,false
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,240,No Cap,Metallic Emerald,Metallic,metallic_shimmer,green,,,unknown,low,color_cosmetic,55,0,17,57,converted_from_rgb,false
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,280,Hmu,Ultra Black Glitter,Metallic,metallic_shimmer,black_gray,,,unknown,low,color_cosmetic,0,0,0,81,converted_from_rgb,false
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,220,Do Better,Metallic Copper,Metallic,metallic_shimmer,gold_bronze,,,unknown,low,color_cosmetic,0,34,51,36,converted_from_rgb,false
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,290,Delulu,Lilac Duochrome,Metallic,metallic_shimmer,multi_duochrome,,,unknown,low,color_cosmetic,7,13,0,4,converted_from_rgb,false
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,250,Booboo,Metallic Teal,Metallic,metallic_shimmer,blue,,,unknown,low,color_cosmetic,84,31,0,52,converted_from_rgb,false
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,210,Blocked,Metallic Gold,Metallic,metallic_shimmer,gold_bronze,,,unknown,low,color_cosmetic,0,16,32,7,converted_from_rgb,false
revival,2026,Drawn This Way Eyeliner,Eyes,Eyeliner,230,Big Flex,Metallic Silver,Metallic,metallic_shimmer,white_silver,,,unknown,low,color_cosmetic,0,0,0,9,converted_from_rgb,false
